NationalGridBmUnit,carrier,bus,lon,lat,SSE-SP_side,SCOTEX_side,SSHARN_side,FLOWSTH_side,SEIMP_side
IBG-EGEN1,interconnector,4969,0.6530000000000001,51.46000000000001,south,south,south,south,north
IBG-ENGI1,interconnector,4969,0.6530000000000001,51.46000000000001,south,south,south,south,north
IBG-RSQ1,interconnector,4969,0.6530000000000001,51.46000000000001,south,south,south,south,north
IVD-VKL1,interconnector,7909,-0.221,52.931,south,south,south,north,north
IVG-VKL1,interconnector,7909,-0.221,52.931,south,south,south,north,north
BFSE01,battery,6051,-1.22,52.585,south,south,south,north,north
AG-HLIM01,battery,5249,-1.494,51.598,south,south,south,south,north
AG-HLIM02,battery,5252,-1.194,50.852,south,south,south,south,north
AG-HLIM03,battery,5226,-1.99,51.616,south,south,south,south,north
AG-HLIM04,battery,5249,-1.494,51.598,south,south,south,south,north
BRGDG-1,fossil,6038,-0.508006,53.540993,south,south,south,north,north
AG-MFLX02,battery,6029,-1.247,53.398,south,south,south,north,north
AG-NHAV02,fossil,5913,-3.781,55.803,south,north,north,north,north
CMSTW-1,onwind,6443,-3.270129,58.406935,north,north,north,north,north
ROTHW-1,onwind,6448,-3.36,57.53,north,north,north,north,north
PAUHW-1,onwind,6448,-3.458196,57.451933,north,north,north,north,north
AG-PFLX01,battery,8020,-3.423,56.412,south,north,north,north,north
NSC-ATL01,hydro,6438,-4.491,57.468,north,north,north,north,north
LCSMH-1,cascade,6453,-5.073,56.829,north,north,north,north,north
KNLCV-1,hydro,6453,-4.95803,56.7129,north,north,north,north,north
CAIRW-2,onwind,6448,-3.063895,57.504968,north,north,north,north,north
MDHLW-1,onwind,6486,-2.482026,56.964685,south,north,north,north,north
TMNCW-1,onwind,6440,-3.9,57.391,north,north,north,north,north
DRAXD-2,biomass,6032,-0.996389,53.7358,south,south,south,north,north
ABERU-1,fossil,6049,-1.270137,53.090486,south,south,south,north,north
ABRTW-1,onwind,6441,-4.372559,58.430482,north,north,north,north,north
AIRSW-1,onwind,5914,-3.814161,55.51487,south,north,north,north,north
ARNKB-2,battery,4966,0.344,51.484,south,south,south,south,north
ASHWW-1,onwind,6452,-5.449219,56.065903,south,north,north,north,north
ASLVW-1,onwind,5911,-3.988675,55.621764,south,north,north,north,north
BARNB-1,battery,5999,-1.457,53.558,south,south,south,north,north
BETHW-1,onwind,6440,-3.966064,57.36209,north,north,north,north,north
BHOLB-1,battery,5229,-1.998,50.721,south,south,south,south,north
BLARW-1,onwind,5896,-5.636,55.564,south,north,north,north,north
BNWKW-1,onwind,6443,-3.21433,58.351973,north,north,north,north,north
BRDUW-1,onwind,5905,-4.141234,55.255156,south,north,north,north,north
BRGG-1,fossil,6042,-0.32959,53.442264,south,south,south,north,north
BRIDU-1,fossil,6037,-0.203475,54.086555,south,south,south,north,north
BROAB-1,battery,4962,0.33,51.413,south,south,south,south,north
BROFB-1,battery,4956,1.05,52.074,south,south,south,south,north
BRYBW-1,onwind,6451,-4.668919,57.22303,north,north,north,north,north
BTUIW-2,onwind,6451,-4.789059,57.17555556,north,north,north,north,north
BTUIW-3,onwind,6451,-4.789059,57.17555556,north,north,north,north,north
BURWB-1,battery,4950,0.316,52.279,south,south,south,south,north
CHAPB-1,battery,5240,-0.4963,51.9266,south,south,south,south,north
CLAC-1,hydro,6453,-4.918736,56.277573,south,north,north,north,north
CLAYB-1,battery,4961,0.298,51.552,south,south,south,south,north
CLAYB-2,battery,4961,0.298,51.552,south,south,south,south,north
CLFLW-1,onwind,6453,-4.957855,56.283062,south,north,north,north,north
CONTB-1,battery,5273,-0.162756,50.95526,south,south,south,south,south
CORB-1,fossil,5233,-0.86792,52.247983,south,south,south,south,north
COWE1,fossil,5207,-5.064697,50.373496,south,south,south,south,north
COWE2,fossil,5207,-5.064697,50.373496,south,south,south,south,north
CROYD-2,fossil,5270,-0.11637,51.37644,south,south,south,south,north
CRSSB-1,battery,5927,-2.959,53.481,south,south,south,north,north
DALSW-1,onwind,5917,-3.662819,55.183662,south,north,north,north,north
DBFRM-1,fossil,5252,-1.153879,50.861673,south,south,south,south,north
DERW-1,fossil,6049,-1.399444,52.905812,south,south,south,north,north
DIDC01G,fossil,5249,-1.26757,51.62363,south,south,south,south,north
DIDC02G,fossil,5249,-1.26757,51.62363,south,south,south,south,north
DIDC03G,fossil,5249,-1.26757,51.62363,south,south,south,south,north
DIDC04G,fossil,5249,-1.26757,51.62363,south,south,south,south,north
FASN3,hydro,6437,-4.793703,57.325887,north,north,north,north,north
FASN-4,hydro,6437,-4.793703,57.325887,north,north,north,north,north
FAWN-1,fossil,5253,-1.351433,50.830367,south,south,south,south,north
FDUNT-1,fossil,6010,-1.349033,53.071393,south,south,south,north,north
FELL-1,fossil,5253,-1.351433,50.830367,south,south,south,south,north
GDSTW-1,onwind,8013,-2.484139,57.460944,north,north,north,north,north
GFLDW-1,onwind,7946,-0.872421,53.668356,south,south,south,north,north
GLCHW-1,onwind,5893,-4.754334,54.96342,south,north,south,north,north
GLOFW-1,onwind,6448,-2.878418,57.219608,north,north,north,north,north
GRGRW-1,onwind,6466,-3.889,55.904,south,north,north,north,north
GYAR-1,fossil,5889,1.625977,52.596375,south,south,south,south,north
HBHDW-1,onwind,7469,-3.547456,55.815259,south,north,north,north,north
HLGLW-1,onwind,6448,-3.615587,57.51052,north,north,north,north,north
HLTWW-1,onwind,8013,-2.406006,57.486309,north,north,north,north,north
HRHLW-1,onwind,5911,-4.054104,55.405691,south,north,north,north,north
ILMEB-1,battery,5238,-0.892,51.741,south,south,south,south,north
JAMBB-1,battery,8020,-3.294,56.341,south,north,north,north,north
KLYN-A-1,fossil,5888,0.380117,52.727256,south,south,south,south,north
LITRB-1,battery,6475,-3.33,56.104,south,north,north,north,north
LNMTH-1,fossil,5949,-1.52083,55.20417,south,south,north,north,north
LNMTH-2,fossil,5949,-1.52083,55.20417,south,south,north,north,north
LNMTH-3,fossil,5949,-1.52083,55.20417,south,south,north,north,north
MANXENR-1,load,4955,0.89694,51.74139,south,south,south,south,north
MARK-1,biomass,6448,-3.603516,57.480403,north,north,north,north,north
MDLWH-1,fossil,5981,-2.42461,53.18726,south,south,south,north,north
MINSW-1,onwind,5919,-3.47168,55.040614,south,south,south,north,north
MOYEW-1,onwind,6440,-4.064872,57.390303,north,north,north,north,north
